key,en,pt_BR
NEW_GAME,New Game,Novo Jogo
QUIT,Quit,Sair
CONTINUE,Continue,Continuar
RESUME,Resume,Continuar
SETTINGS,Settings,Configurações
SAVE_RETURN_MENU,Save & Return to Menu,Salvar e Retornar ao Menu
SAVE_RETURN_DESKTOP,Save & Exit to Desktop,Salvar e Sair do Jogo
ARE_YOU_SURE,Are you sure?,Tem certeza?
ARE_YOU_SURE_EXIT,Are you sure you want to exit the game?,Tem certeza que quer sair do jogo?
YES,Yes,Sim
YES_EXC,Yes!,Sim!
NO,No,Não
SECOND_THOUGHT,On second thought...,Pensando bem...
EXIT_DESKTOP,Exit to Desktop,Sair do Jogo
GAME_PAUSED,Game Paused,Jogo Pausado
VIDEO,Video,Gráficos
AUDIO,Audio,Áudio
CONTROLS,Controls,Controles
GAMEPLAY,Gameplay,Jogabilidade
LANGUAGE,Language,Linguagem
OPT_WINDOW_SIZE,Window Size,Tamanho da Janela
OPT_FULLSCREEN,Fullscreen,Tela Cheia
OPT_BORDERLESS,Borderless,Sem Borda
OPT_DISABLEFOG,Disable Map Fog,Desabilitar Névoa do Mapa
OPT_DISABLEFOG_DESC,might improve lag on map screen,pode diminuir lag na tela de mapa
OPT_MASTER_VOLUME,Master Volume,Volume Mestre
OPT_MUSIC_VOLUME,Music Volume,Volume da Música
OPT_SFX_VOLUME,Sound Effects Volume,Volume de Efeitos Sonoros
OPT_OPEN/CLOSE_BOOK,Open/Close Book,Abrir/Fechar Livro
OPT_COMBINE,Combine,Combinar
OPT_END_TURN,End Turn,Terminar Turno
OPT_TOGGLE_FULLSCREEN,Toggle Fullscreen,Ativar/Desativar Tela Cheia
OPT_AUTO_END_TURN,Auto End Turn,Terminar Turno Automaticamente
OPT_SHOW_TIMER,Show Timer,Mostrar Cronômetro
OPT_RESET_TUTORIAL_HINTS,Reset Tutorial Hints,Resetar Dicas de Tutorial
OPT_LANGUAGE,Language,Linguagem
CHOOSE_ONE,Choose One,Escolha Um
CHOOSE_TARGET,Choose Target,Escolher Alvo
ALL_ARTIFACTS,You apparently have all the treasure in the world...,Você aparentemente tem todos tesouros no mundo...
IGNORE,Ignore,Ignorar
CHOOSE_ONLY_ONE,Choose only one,Escolha apenas um
HEAL_TEXT,[center]Heal [color=green]%d HP[/color] ([color=%s]%d%%[/color] max hp)[/center],[center]Cura [color=green]%d PV[/color] ([color=%s]%d%%[/color] da vida máx.)[/center]
CANT_HEAL,CAN'T HEAL,NÃO PODE CURAR
CANT_HEAL_SCHOLAR_MASK,Can't heal while wearing the Cursed Scholar's Mask,Não pode curar enquanto estiver usando a Máscara Amaldiçoada do Estudioso 
DISCOVER_RECIPE,Discover and Master 1 Recipe,Descubra e Aperfeiçoe 1 Receita
FAVORITE_THIS_RECIPE,Favorite this Recipe,Favoritar esta Receita
MASTERED_RECIPE_EXC,Mastered Recipe!,Receita Aperfeiçoada!
DISC_MEMORIZED_RECIPE,Discovered Memorized Recipe!,Descobriu Receira Memorizada!
DISC_NEW_RECIPE,Discovered New Recipe!,Descobriu Receita Nova!
UNAVAILABLE_FAV_SLOT,Unavailable favorite slot,Sem espaço para favoritar
ALREADY_FAV,Recipe already favorited,Receita já favoritada
FAV_ERROR,Favorite this recipe on the recipes page\nafter you unfavorite another!,Favorite esta receita na página de receitas\napós você desfavoritar alguma outra!
FAVORITED_EXC,Favorited!,Favoritada!
CHOOSE,Choose,Escolher
